date,station_id,mm
2025-08-15,INAMEH_3D07A07A,370
2025-08-15,ONCC_IMUNIC709,342.1
2025-08-15,ONCC_IBIRUA2,284.1
2025-08-15,AR_compi0121,54.2
2025-08-15,AR_compi0157,61.7
2025-08-15,AR_compi0130,72.5
2025-08-15,AR_compi0104,103.6
2025-08-15,ONCC_IMUNIC684,160.6
2025-08-15,AR_compi0158,118.1
2025-08-15,AR_compi0103,53.6
2025-08-15,AR_compi0106,50.1
2025-08-15,AR_compi0120,59
2025-08-15,AR_compi0155,18
2025-08-15,AR_compi0102,72.7
2025-08-15,AR_compi0126,40
2025-08-15,AR_compi0123,110.6
2025-08-15,AR_compi0124,123.5
2025-08-15,AR_compi0156,121.9
2025-08-15,AR_compi0101,55.4
2025-08-15,ONCC_IMUNIC706,25.5
2025-08-15,AR_compi0129,62.2
2025-08-15,AR_compi0119,37.7
2025-08-15,AR_compi0128,92.4
2025-08-15,AR_compi0125,116.6
2025-08-15,AR_compi0127,118
2025-08-15,AR_compi0105,77
2025-08-15,ONCC_IGIRAR9,95
2025-08-15,AR_compi0131,81.6
2025-08-15,AR_compi0122,4.2
2025-08-15,AR_compi0132,39.3
2025-08-15,ONCC_IBOLIVAR5,104.7
2025-08-15,ONCC_IMUNIC646,34
2025-08-15,ONCC_IMONTA384,85.6
2025-08-15,ONCC_IMUNIC609,13.7
2025-08-15,CA_compi0108,70.3
2025-08-15,DA_compi0113,1.9
2025-08-15,DA_compi0111,17.9
2025-08-15,ONCC_ICARAC2,56.7
2025-08-15,ONCC_IDCCARAC3,85.4
2025-08-15,ONCC_ISILVA23,111.7
2025-08-15,ONCC_IMUNIC656,91.4
2025-08-15,ONCC_IMUNIC618,244.6
2025-08-15,ONCC_IMUNIC633,82.3
2025-08-15,ONCC_IMUNIC652,398
2025-08-15,ONCC_IMUNIC726,44.4
2025-08-15,ONCC_IMUNIC525,108.7
2025-08-15,ONCC_IVARGA20,25.9
2025-08-15,ONCC_IVARGA15,44.4
2025-08-15,ONCC_IVARGA24,47.8
2025-08-15,ONCC_IIRIBA8,59.9
2025-08-15,ONCC_IALBER107,184.7
2025-08-15,ONCC_ILIBER204,87.9
2025-08-15,ONCC_IBARUT17,76.4
2025-08-15,DC_compi0114,57.5
2025-08-15,ONCC_IMUNIC602,111.5
2025-08-15,ONCC_IMUNIC718,51.3
2025-08-15,ONCC_IMUNIC571,67.1
2025-08-15,PO_compi0118,213.8
2025-08-15,ONCC_ITURN4,232.4
2025-08-15,ONCC_ISANTA1942,115.1
2025-08-15,ONCC_ISUCRE18,76.5
2025-08-15,TA_compi0137,218.5
2025-08-15,TA_compi0139,214.4
2025-08-15,ONCC_ISANCR178,195.3
2025-08-15,ONCC_IGARCA15,101.3
2025-08-15,TA_compi0138,126.5
2025-08-15,ONCC_IGARCA20,214.1
2025-08-15,TA_compi0136,172.6
2025-08-15,ONCC_IESCUQ4,97.5
2025-08-15,ONCC_ITRUJI40,70.9
2025-08-15,ONCC_IPAMPA9,48.5
2025-08-15,ZU_compi0147,0
2025-08-15,ZU_compi0141,49
2025-08-15,ZU_compi0146,0
2025-08-15,ONCC_IMACHI22,214.9
2025-08-15,ONCC_ICOLN27,11.9
2025-08-15,ZU_compi0144,16.3
2025-08-15,ZU_compi0151,4.8
2025-08-15,ZU_compi0154,5
2025-08-15,ZU_compi0142,6.1
2025-08-15,ONCC_ISUCRE21,151.9
2025-08-15,ZU_compi0150,18.7
2025-08-15,ZU_compi0140,40.3
2025-04-15,AR_compi0102,23.5
2025-04-15,AR_compi0127,116
2025-04-15,AR_compi0130,31.5
2025-04-15,AR_compi0103,36.4
2025-04-15,AR_compi0131,73.92
2025-04-15,AR_compi0121,9.12
2025-04-15,AR_compi0126,63
2025-04-15,AR_compi0132,37.9
2025-04-15,ONCC_IMUNIC706,21.38
2025-04-15,AR_compi0122,0.5
2025-04-15,AR_compi0101,42.4
2025-04-15,INIA_CENIAP,33.4
2025-04-15,AR_compi0119,18.7
2025-04-15,AR_compi0125,41.6
2025-04-15,AR_compi0133,20.2
2025-04-15,AR_compi0123,58.1
2025-04-15,AR_compi0128,38.2
2025-04-15,AR_compi0124,43.42
2025-04-15,AR_compi0129,46.47
2025-04-15,AR_compi0120,0
2025-04-15,FA_compi0116,5
2025-04-15,ONCC_IMUNIC525,37.41
2025-04-15,PO_compi0118,328
2025-04-15,TA_compi0138,161.6
2025-04-15,TA_compi0136,176.2
2025-04-15,TA_compi0137,125.3
2025-04-15,TA_compi0139,132.8
2025-04-15,ZU_compi0151,27.99
2025-04-15,ZU_compi0140,27
2025-04-15,ZU_compi0150,43.1
2025-04-15,ZU_compi0141,0
2025-02-15,AR_compi0129,2.54
2025-02-15,AR_compi0127,0
2025-02-15,AR_compi0120,0
2025-02-15,AR_compi0123,0
2025-02-15,AR_compi0122,0
2025-02-15,AR_compi0101,0
2025-02-15,ONCC_IMUNIC706,0
2025-02-15,AR_compi0130,0.3
2025-02-15,AR_compi0126,17
2025-02-15,INIA_CENIAP,0.2
2025-02-15,AR_compi0102,3
2025-02-15,AR_compi0125,0
2025-02-15,AR_compi0132,0
2025-02-15,AR_compi0128,0
2025-02-15,AR_compi0103,1.2
2025-02-15,AR_compi0133,0
2025-02-15,AR_compi0131,3.5
2025-02-15,AR_compi0121,0.25
2025-02-15,AR_compi0119,0
2025-02-15,AR_compi0124,0
2025-02-15,FA_compi0116,0
2025-02-15,ONCC_IMUNIC525,0
2025-02-15,TA_compi0138,15.9
2025-02-15,TA_compi0136,12.1
2025-02-15,TA_compi0137,21.2
2025-02-15,ZU_compi0150,0
2025-02-15,ZU_compi0140,0
2025-02-15,ZU_compi0151,0
2025-02-15,ZU_compi0141,0
2025-01-15,AR_compi0103,0
2025-01-15,AR_compi0121,0
2025-01-15,AR_compi0101,0
2025-01-15,AR_compi0131,0
2025-01-15,AR_compi0102,0.6
2025-01-15,INIA_CENIAP,5.8
2025-01-15,AR_compi0132,0
2025-01-15,AR_compi0123,0.3
2025-01-15,AR_compi0129,0
2025-01-15,ONCC_IMUNIC525,0
2025-01-15,TA_compi0138,58
2025-01-15,TA_compi0136,44.3
2025-01-15,ZU_compi0141,0
2025-01-15,ZU_compi0150,0
2025-01-15,ZU_compi0151,0
2025-07-15,INAMEH_3D129B6C,355.8
2025-07-15,ONCC_IMUNIC709,68.84
2025-07-15,ONCC_IBIRUA2,285.29
2025-07-15,AR_compi0120,139.5
